,telephone1,storeName,uniqueID,country,city,addressLine,stateOrProvinceName,distance,postalCode,longitude,fax1,latitude,Centro de distribucion,Horario,Servicios Fotográficos,Zona,Recoger en Superfarmacia,Entrega a domicilio,Consultorio Médico,Ubicacion,thumbnail,displayStoreName
0,4499180957,SU1879,715840857,México,C-Aguascalientes,"['Av. Héroe de Nacozari Sur #732 B', 'Héroes Aguascalientes']",S-Aguascalientes,0.162220158,20250,-102.28148,4499164641,21.87461,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsHerNacoza.jpg,HÉROE DE NACOZARI
1,4499164725,SU1718,715840696,México,C-Aguascalientes,"['Av. Lic. Adolfo López Mateos #428 L3', 'Centro']",S-Aguascalientes,1.111186429,20000,-102.28922,4499150091,21.8794,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsLopezMate.jpg,LÓPEZ MATEOS
2,4499174406,SU236,715839214,México,C-Aguascalientes,"['Av. Convención 1914 #402-B', 'Linda Vista']",S-Aguascalientes,1.250011915,20270,-102.28971,4499174409,21.86598,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,Hora de atencion de 10 am a 5 pm,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsConvencio.jpg,AV. CONVENCIÓN
3,4499177071,SU363,715839341,México,C-Aguascalientes,"['Av. Aguascalientes Sur #1201', 'Jardines del Sol']",S-Aguascalientes,1.653855433,20270,-102.27264,4499709740,21.86048,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,Hora de atencion de 10 am a 5 pm,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsCasaBlanc.jpg,CASA BLANCA
4,4499185927,SU34,715839013,México,C-Aguascalientes,"['Francisco I. Madero #232', 'Centro']",S-Aguascalientes,1.747428783,20000,-102.29515,4499181139,21.88146,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsMadero.jpg,MADERO
5,4499182843,SU32,715839011,México,C-Aguascalientes,"['Juárez #103', 'Centro']",S-Aguascalientes,1.791341453,20000,-102.29565,4499182782,21.88145,Centro de distribución tonalá,Abierto de 7 a.m a 10 p.m.,Disponible durante el horario de tienda,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,Hora de atencion de 10 am a 5 pm,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsJuarez.jpg,JUÁREZ
6,4499184782,SU89,715839068,México,C-Aguascalientes,"['Andador Allende #229', 'Centro']",S-Aguascalientes,1.826030587,20000,-102.29501,4499184787,21.88295,Centro de distribución tonalá,Abierto de 7 a.m a 10 p.m.,Disponible durante el horario de tienda,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsParian.jpg,PARIÁN
7,4494882439,SU2079,715842507,México,C-Aguascalientes,"['Calle Héroes de Nacozari #908', 'Gremial']",S-Aguascalientes,2.043780629,20030,-102.28506,4494882435,21.89132,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsGremial.jpg,GREMIAL
8,4499940679,SU237,715839215,México,C-Aguascalientes,"['Av. 5 de Mayo #425', 'Centro']",S-Aguascalientes,2.192195388,20000,-102.29744,4499940677,21.88544,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgs5deMayo.jpg,5 DE MAYO
9,4499161556,SU138,715839117,México,C-Aguascalientes,"['Av. las Américas #701', 'Fracc. Santa Elena']",S-Aguascalientes,2.264456041,20230,-102.30227,4499161557,21.87011,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,Hora de atencion de 10 am a 5 pm,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsAmericas.jpg,AMÉRICAS
10,4499700070,SU103,715839082,México,C-Aguascalientes,"['Plaza Abastos Ojo #CAL.L-142', 'Ojo Caliente']",S-Aguascalientes,2.669251805,20190,-102.25715,4499700013,21.88357,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsOjoCalien.jpg,OJO CALIENTE
11,4499172773,SU243,715839221,México,C-Aguascalientes,"['Av. Aguascalientes Sur #205', 'Fracc. el Dorado']",S-Aguascalientes,2.73430595,20000,-102.30247,4499172774,21.85949,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,Hora de atencion de 10 am a 5 pm,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsElDorado.jpg,EL DORADO
12,4491407652,SU410,715839388,México,C-Aguascalientes,"['Valente Quintana #114', 'Martínez Domínguez']",S-Aguascalientes,2.765293,20280,-102.29441,4491407653,21.85207,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,Hora de atencion de 10 am a 5 pm,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsMGandhi.jpg,GANDHI
13,4499775561,SU1822,715840800,México,C-Aguascalientes,"['Av. Aguascalientes #304', 'Infonavit']",S-Aguascalientes,2.900292088,20264,-102.25671,4499775269,21.85963,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsPzaKabah.jpg,PLAZA KABAH
14,4493923645,SU2037,715841987,México,C-Aguascalientes,"['Av. Aguascalientes Ote. #1808', 'Municipio Libre']",S-Aguascalientes,2.964080601,20199,-102.27055,4499752008,21.89839,Centro de distribución tonalá,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 12,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_AgsAgsPlzaAtika.jpg,LOS PUERTOS
